universalid,title,authorinfo,genre,notes
lt0474w053,De Divinatione,<author>M. Tullius Cicero</author>. <work>De Divinatione</work> .,Phil.,
lt0474w054,De Fato,<author>M. Tullius Cicero</author>. <work>De Fato</work> .,Phil.,
lt0474w055,De Officiis,<author>M. Tullius Cicero</author>. <work>De Officiis</work> .,Phil.,
lt0474w070,philosophicorum librorum frr.,<author>M. Tullius Cicero</author>. philosophicorum librorum frr. .,Phil.,
lt0474w072,Timaeus,<author>M. Tullius Cicero</author>. <work>Timaeus</work> .,Phil.,
lt0514w001,De Rerum Natura,<author>Egnatius</author>. <work>De Rerum Natura</work> .,Phil.,
lt1017w012,Dialogi,<author>L. Annaeus Seneca iunior</author>. <work>Dialogi</work> .,Phil.,
lt1017w013,De Beneficiis,<author>L. Annaeus Seneca iunior</author>. <work>De Beneficiis</work> .,Phil.,
lt1017w014,De Clementia,<author>L. Annaeus Seneca iunior</author>. <work>De Clementia</work> .,Phil.,
lt1017w017,e Cleanthe versus,<author>L. Annaeus Seneca iunior</author>. <work>E Cleanthe Versus</work> .,Phil.,
lt1212w004,De Deo Socratis,"<author>Apuleius Madaurensis</author>. <work>De Deo Socratis</work>  et Fragments</work>, ed. J. Beaujeu, 1973).",Phil.,
lt1212w008,De Mundo,"<author>Apuleius Madaurensis</author>. <work>De Mundo</work>  et Fragments</work>, ed. J. Beaujeu, 1973).",Phil.,
lt1212w009,De Platone et Eius Dogmate,"<author>Apuleius Madaurensis</author>. <work>De Platone et Eius Dogmate</work>  et Fragments</work>, ed. J. Beaujeu, 1973).",Phil.,
lt1212w010,"De Deo Socratis, Praef. [sp.]","<author>Apuleius Madaurensis</author>. <work>De Deo Socratis, Praef.</work> [sp.]  et Fragments</work>, ed. J. Beaujeu, 1973).",Phil.,
lt1500w001,Altercatio Hadr. et Epicteti,  <work>Altercatio Hadriani Augusti et Epicteti Philosophi</work> .,Phil.,
lt2305w001,E Parmenide de natura,<author>Caelius Aurelianus</author>. <work>E Parmenide de natura</work> .,Phil.,
lt0043w006,varia,<author>Q. Ennius</author>. varia .,Poem.,
lt0043w007,incerta,<author>Q. Ennius</author>. incerta .,Poem.,
lt0472w001,carmina,<author>C. Valerius Catullus</author>. carmina .,Poem.,
lt0472w002,carminum fragmenta,<author>C. Valerius Catullus</author>. carminum fragmenta .,Poem.,
lt0474w062,"carmina, fragmenta","<author>M. Tullius Cicero</author>. carmina, fragmenta .",Poem.,
lt0478w002,carmina,<author>Q. Tullius Cicero</author>. carmina .,Poem.,
lt0486w001,carmina,<author>C. Helvius Cinna</author>. carmina .,Poem.,
lt0558w001,carmina,<author>C. Maecenas</author>. carmina .,Poem.,
lt0558w002,fragmentum a Morel omissum,<author>C. Maecenas</author>. fragmentum a Morel omissum .,Poem.,
lt0562w001,carmina,<author>Manilius</author>. carmina .,Poem.,
lt0692w001,Dirae,<author>Appendix Vergiliana</author>. <work>Dirae</work> .,Poem.,
lt0692w002,Lydia,<author>Appendix Vergiliana</author>. <work>Lydia</work> .,Poem.,
lt0692w003,Culex,<author>Appendix Vergiliana</author>. <work>Culex</work> .,Poem.,
lt0692w004,Aetna,<author>Appendix Vergiliana</author>. <work>Aetna</work> .,Poem.,
lt0692w005,Copa,<author>Appendix Vergiliana</author>. <work>Copa</work> .,Poem.,
lt0692w007,Ciris,<author>Appendix Vergiliana</author>. <work>Ciris</work> .,Poem.,
lt0692w008,Priapea,<author>Appendix Vergiliana</author>. <work>Priapea</work> .,Poem.,
lt0692w009,Catalepton,<author>Appendix Vergiliana</author>. <work>Catalepton</work> .,Poem.,
lt0692w010,Priapeum 'Quid Hoc Novi Est?',<author>Appendix Vergiliana</author>. <work>Priapeum 'Quid Hoc Novi Est?'</work> .,Poem.,
lt0692w011,Moretum,<author>Appendix Vergiliana</author>. <work>Moretum</work> .,Poem.,
lt0692w012,De Institutione Viri Boni,<author>Appendix Vergiliana</author>. <work>De Institutione Viri Boni</work> .,Poem.,
lt0692w013,De Est et Non,<author>Appendix Vergiliana</author>. <work>De Est et Non</work> .,Poem.,
lt0692w014,De Rosis Nascentibus,<author>Appendix Vergiliana</author>. <work>De Rosis Nascentibus</work> .,Poem.,
lt0893w004,Sermones,<author>Q. Horatius Flaccus</author>. <work>Sermones</work> .,Poem.,
lt0893w005,Epistulae,<author>Q. Horatius Flaccus</author>. <work>Epistulae</work> .,Poem.,
lt0893w006,Ars Poetica,<author>Q. Horatius Flaccus</author>. <work>Ars Poetica</work> .,Poem.,
lt0959w013,Nux [sp.],<author>P. Ovidius Naso</author>. <work>Nux</work> [sp.] .,Poem.,
lt0959w014,Halieutica [sp.],<author>P. Ovidius Naso</author>. <work>Halieutica</work> [sp.] .,Poem.,
lt0959w015,Epicedion Drusi [sp.],<author>P. Ovidius Naso</author>. <work>Epicedion Drusi</work> [sp.] .,Poem.,
lt9500w001,carmen Saliare,<author>Anonymi Epici et Lyrici</author>. carmen Saliare .,Poem.,
lt9500w002,versus sacrorum,<author>Anonymi Epici et Lyrici</author>. versus sacrorum .,Poem.,
lt9500w004,A. Atilii Calatini elogium,<author>Anonymi Epici et Lyrici</author>. <work>A. Atilii Calatini elogium</work> .,Poem.,
lt9500w005,carmen Priami,<author>Anonymi Epici et Lyrici</author>. carmen Priami .,Poem.,
lt9500w006,saturnius(?),<author>Anonymi Epici et Lyrici</author>. saturnius .,Poem.,
lt9500w007,Acilii Glabrionis tabula,<author>Anonymi Epici et Lyrici</author>. Acilii Glabrionis tabula .,Poem.,
